timestamp,Open,High,Low,Close,Volume
2026-01-05 09:32:36,131.2,131.87,130.0,130.93,128787
2026-01-05 09:42:36,133.45,133.55,131.56,132.85,27818
2026-01-05 09:52:36,133.52,134.04,133.44,133.81,16409
2026-01-05 10:02:36,137.41,137.42,136.89,136.9,81450
2026-01-05 10:12:36,133.61,133.73,133.01,133.37,36253
2026-01-05 10:22:36,133.16,133.46,132.91,133.17,133979
2026-01-05 10:32:36,136.47,136.47,135.82,136.09,76771
2026-01-05 10:42:36,137.69,138.96,137.69,138.45,26585
2026-01-05 10:52:36,139.46,139.77,138.8,138.8,50074
2026-01-05 11:02:36,140.31,141.14,139.49,140.89,105157
2026-01-05 11:12:36,142.55,142.68,142.12,142.68,22850
2026-01-05 11:22:36,139.99,140.21,138.81,139.31,81796
2026-01-05 11:32:36,137.49,138.05,136.26,137.19,32923
2026-01-05 11:42:36,132.71,132.96,132.03,132.62,71197
2026-01-05 11:52:36,128.32,129.4,127.0,128.05,177629
2026-01-05 12:02:36,133.31,134.32,132.89,133.72,33652
2026-01-05 12:12:36,136.02,136.02,134.84,135.6,68783
2026-01-05 12:22:36,136.39,137.5,136.15,136.54,83136
2026-01-05 12:32:36,145.3,145.88,144.53,145.88,114971
2026-01-05 12:42:36,150.31,150.5,150.23,150.5,97150
2026-01-05 12:52:36,152.86,153.19,152.42,152.81,169983
2026-01-05 13:02:36,156.9,157.37,156.2,157.23,64933
2026-01-05 13:12:36,158.39,158.87,158.07,158.87,41422
2026-01-05 13:22:36,158.96,159.72,157.52,158.82,107513
2026-01-05 13:32:36,158.37,158.66,158.01,158.66,198850
2026-01-05 13:42:36,157.69,157.69,156.96,157.49,78958
2026-01-05 13:52:36,159.4,159.66,158.35,159.66,119248
2026-01-05 14:02:36,162.16,163.53,161.76,161.96,98264
2026-01-05 14:12:36,164.64,165.62,164.5,165.62,149937
2026-01-05 14:22:36,164.8,165.19,163.93,164.32,149602
2026-01-05 14:32:36,169.3,169.99,167.93,168.75,111318
2026-01-05 14:42:36,175.26,177.06,175.0,175.21,265350
2026-01-05 14:52:36,175.74,176.56,175.74,175.98,227600
2026-01-05 15:02:36,171.23,173.29,171.23,172.13,325979
2026-01-05 15:12:36,171.5,172.26,171.21,172.21,206419
2026-01-05 15:22:36,172.37,172.99,171.65,172.99,294214
2026-01-05 15:32:36,174.09,174.57,171.8,174.57,181285
2026-01-05 15:42:36,170.03,171.09,170.02,170.02,240301
2026-01-05 15:52:36,175.08,176.72,175.02,175.57,303060
2026-01-06 09:32:36,178.01,178.15,175.81,177.55,211191
2026-01-06 09:42:36,172.84,174.95,172.44,172.44,55928
