timestamp,Open,High,Low,Close,Volume
2026-01-05 09:32:36,180.23,181.48,180.23,180.76,11463
2026-01-05 09:42:36,169.01,169.51,167.74,168.66,119670
2026-01-05 09:52:36,171.5,172.71,169.79,171.55,54137
2026-01-05 10:02:36,166.73,167.77,165.38,167.74,157435
2026-01-05 10:12:36,166.54,167.42,165.66,166.66,78498
2026-01-05 10:22:36,176.37,177.26,176.29,177.18,12436
2026-01-05 10:32:36,182.61,183.94,182.61,183.02,42708
2026-01-05 10:42:36,190.12,190.12,188.31,188.99,68041
2026-01-05 10:52:36,189.5,190.35,189.5,190.35,58828
2026-01-05 11:02:36,185.98,185.98,184.54,184.54,17446
2026-01-05 11:12:36,186.1,186.21,185.09,185.14,102050
2026-01-05 11:22:36,185.62,185.93,185.62,185.71,23339
2026-01-05 11:32:36,178.95,180.55,177.99,178.41,106907
2026-01-05 11:42:36,178.94,179.12,178.26,179.12,77782
2026-01-05 11:52:36,174.48,175.24,174.32,174.95,16821
2026-01-05 12:02:36,174.72,177.08,174.28,175.68,122038
2026-01-05 12:12:36,172.88,173.2,172.44,173.2,102298
2026-01-05 12:22:36,174.62,175.84,173.8,175.84,36653
2026-01-05 12:32:36,181.32,181.92,180.18,181.65,25062
2026-01-05 12:42:36,177.6,177.6,176.43,176.43,29773
2026-01-05 12:52:36,174.06,175.31,174.06,174.55,47297
2026-01-05 13:02:36,171.48,172.09,169.83,171.47,147183
2026-01-05 13:12:36,170.98,170.98,170.15,170.3,96992
2026-01-05 13:22:36,165.22,165.69,165.22,165.49,51921
2026-01-05 13:32:36,163.38,164.3,162.59,164.3,171010
2026-01-05 13:42:36,163.46,163.46,162.5,163.21,168203
2026-01-05 13:52:36,165.62,166.44,164.07,165.34,129930
2026-01-05 14:02:36,154.77,155.37,153.81,154.89,81831
2026-01-05 14:12:36,153.86,154.44,153.31,153.64,247200
2026-01-05 14:22:36,154.25,155.77,154.25,155.25,202202
2026-01-05 14:32:36,153.92,154.47,153.43,153.51,198674
2026-01-05 14:42:36,161.08,161.82,160.23,161.35,49316
2026-01-05 14:52:36,149.55,150.11,148.91,149.9,258540
2026-01-05 15:02:36,148.58,149.79,148.41,148.62,222271
2026-01-05 15:12:36,151.5,152.22,150.47,151.34,89490
2026-01-05 15:22:36,154.35,155.2,154.35,154.79,92000
2026-01-05 15:32:36,150.78,151.47,150.48,151.47,39040
2026-01-05 15:42:36,150.66,150.66,149.16,150.62,256038
2026-01-05 15:52:36,145.57,146.25,144.25,144.88,244874
2026-01-06 09:32:36,143.9,143.9,143.17,143.17,215724
2026-01-06 09:42:36,148.08,148.17,147.63,148.07,64865
2026-01-06 09:52:36,148.91,149.6,148.91,148.95,100101
2026-01-06 10:02:36,150.8,150.98,150.21,150.56,171192
2026-01-06 10:12:36,148.38,148.9,147.19,148.9,203962
2026-01-06 10:22:36,140.3,140.37,139.64,139.88,82324
2026-01-06 10:32:36,140.99,141.7,140.51,141.4,128229
2026-01-06 10:42:36,138.8,139.21,138.35,138.83,259312
2026-01-06 10:52:36,141.51,141.8,141.05,141.05,141799
